step,accumulated_step,loss,perplexity,ttt_step_time,score_seq_time,eval_step_time,lr,fgr_ratio,fgr_loss_delta,fgr_drift_delta,fgr_ratio_cumulative,fgr_drift,_fgr_cumulative_loss_gain,fgr_ema_ratio,avg_spearman,fitness_eval_time,dms_id,seq_len,num_mutations,total_time
0,0,,3.1008405685424805,2.384185791015625e-07,8.646621465682983,7.869572877883911,4e-05,,,,,0.0,,,0.02837358682539249,7.777252197265625,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
1,4,0.3103996515274048,3.099444627761841,1.297663688659668,7.780529022216797,7.815345764160156,4e-05,-11710.0,-0.0013959407806396484,1.1920928955078125e-07,0.0,1.1920928955078125e-07,0.0,0.0,0.028039511947063007,7.774855852127075,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
2,8,0.321209579706192,3.0978879928588867,1.2927272319793701,7.7801899909973145,7.805336236953735,4e-05,-26116.0,-0.0015566349029541016,5.960464477539063e-08,-8705.333333333334,1.7881393432617188e-07,-0.0015566349029541016,4352.666666666667,0.028042042817353383,7.769221544265747,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
3,12,0.29593706130981445,3.0963830947875977,1.2926619052886963,7.78128719329834,7.801311254501343,4e-05,-25248.0,-0.0015048980712890625,5.960464477539063e-08,-25682.0,1.1920928955078125e-07,-0.003061532974243164,16105.5,0.028042042817353383,7.765190839767456,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
4,16,0.31586551666259766,3.094902276992798,1.292421579360962,7.778035402297974,7.809965372085571,4e-05,,-0.0014808177947998047,0.0,-38104.0,1.1920928955078125e-07,-0.004542350769042969,27104.75,0.028209080256518124,7.773864030838013,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
5,20,0.3200454115867615,3.0934224128723145,1.2928552627563477,7.790354013442993,7.819240093231201,4e-05,-6207.0,-0.0014798641204833984,2.384185791015625e-07,-16839.333333333332,3.5762786865234375e-07,-0.006022214889526367,12937.125,0.028209080256518124,7.783046722412109,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
6,24,0.35786306858062744,3.091935634613037,1.2928466796875,7.791472434997559,7.818114280700684,4e-05,-8314.666666666666,-0.0014867782592773438,1.7881393432617188e-07,-41993.333333333336,1.7881393432617188e-07,-0.007508993148803711,33933.791666666664,0.027804141010058146,7.7819883823394775,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
7,28,0.3098677098751068,3.090503215789795,1.294264316558838,7.788472652435303,7.804989576339722,4e-05,-8010.666666666667,-0.0014324188232421875,1.7881393432617188e-07,-25002.0,3.5762786865234375e-07,-0.008941411972045898,20984.447916666668,0.02807747500141863,7.768873453140259,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
8,32,0.322456419467926,3.088989019393921,1.2931044101715088,7.788074970245361,7.807597875595093,4e-05,-12702.0,-0.0015141963958740234,1.1920928955078125e-07,-21927.0,4.76837158203125e-07,-0.010455608367919922,18832.66796875,0.02824957418116412,7.771383762359619,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
9,36,0.30985504388809204,3.087615728378296,1.2933003902435303,7.790137529373169,7.816770792007446,4e-05,-5760.0,-0.001373291015625,2.384185791015625e-07,-16538.0,7.152557373046875e-07,-0.011828899383544922,14546.555989583334,0.028550747745718728,7.7806127071380615,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
