pdb	chain	pLDDT_before	pLDDT_after	tm_score_before	tm_score_after	lddt_before	lddt_after
8ykd	A	76.9		0.80569		0.8080376282233417	
9eje	A	63.58	66.89	0.84476	0.83519	0.6711358371054335	0.6638127822719542
9cye	A	71.19	71.19	0.87276	0.87276	0.7131007277086359	0.7131007277086359
9cyf	A	62.21	62.21	0.85748	0.85748	0.6575145833359122	0.6575145833359122
9cyh	A	68.14	68.14	0.8483	0.8483	0.6829514933057615	0.6829514933057615
9cyi	A	62.21	62.21	0.85924	0.85924	0.6583946508650375	0.6583946508650375
9cyj	A	62.21	62.21	0.85898	0.85898	0.6454441120100778	0.6454441120100778
9eit	A	62.94	66.99	0.83929	0.83442	0.647430024070143	0.6589241285727461
9ejf	D	71.66	71.66	0.87624	0.87624	0.7189314254945078	0.7189314254945078
9jft	A	76.99		0.79195		0.7867569103338568	
9kfi	G	72.75	81.29	0.55881	0.53742	0.8167395361073241	0.8448487389764128
9kfj	G	72.75	75.82	0.59098	0.58751	0.8196186898405096	0.8371800043000438
9kfk	I	84.13		0.10846		0.7818357991297608	
9kyz	C	60.35	66.18	0.66014	0.65611	0.5953003416567891	0.5944858514559064
9mq7	A	50.22	51.11	0.55569	0.52038	0.46889637389270156	0.4727705612388956
9mq8	A	52.34	52.34	0.60417	0.60417	0.5196930102674026	0.5196930102674026
9mq9	E	51.1	51.53	0.55331	0.54995	0.4686543170439358	0.4679721788281882
9mqa	A	50.22	50.08	0.5562	0.56199	0.47189969428619494	0.4746301978755555
9mqd	A	50.45	50.8	0.55872	0.51732	0.47111871081861945	0.4466531328625993
9mvu	A	56.8		0.52118		0.6209779135991291	
9mw5	A	57.13		0.50416		0.6320415502580332	
9my8	B	58.29	61.8	0.68709	0.69314	0.5975770195140534	0.6045291005939772
9o4n	A	71.19	71.19	0.87363	0.87363	0.7142691398179786	0.7142691398179786
9o4o	A	71.19	71.75	0.8729	0.86397	0.7132091129740615	0.7080464230403395
9o4p	B	71.19	71.19	0.87383	0.87383	0.7114415509085635	0.7114415509085635
9o4q	B	71.19	71.19	0.87354	0.87354	0.7141864478111615	0.7141864478111615
9o9v	D	71.66	71.66	0.8763	0.8763	0.7189337079525092	0.7189337079525092
9q8l	A	81.18		0.914		0.8708729959055228	
9k3k	A	76.26		0.28407		0.8156788217914032	
9k3l	A	74.23	77.24	0.78698	0.85926	0.7890283985373169	0.7937029315684919
9k3p	A	76.68		0.26725		0.7944887908149189	
9mgb	D	80.66		0.78105		0.8814784751428106	
8y72	A	77.66		0.80546		0.787009109534853	
9bqw	A	90.6		0.954		0.9228907385507257	
9gcn	Z	89.8		0.92252		0.9230101791319005	
9j05	A	87.31		0.89565		0.7401396193148763	
9k3f	A	77.48		0.27466		0.7876070835642309	
9k3h	A	76.26		0.27135		0.7861570110219676	
9cu7	A	51.53	51.53	0.57157	0.57157	0.5070898294866518	0.5070898294866518
9u8g	B	92.16		0.22272		0.960956646720083	
9dn2	A	40.76		0.41925		0.40497030502287984	
9do2	A	49.64	52.83	0.60701	0.6042	0.49633976485449677	0.5245906252444463
9e21	S	27.72	36.92	0.23902	0.23734	0.26140643133981245	0.25600727506519444
9e7n	A	76.51		0.92364		0.8383272410960156	
9e7o	B	78.57		0.76542		0.8352161928125651	
9e7p	B	79.58		0.77153		0.8395084537428205	
9g4e	A	78.98		0.83031		0.7679102460356042	
9g4f	A	78.98		0.86586		0.7502437046742433	
9iv6	A	77.39		0.286		0.767058112217688	
9iw2	F						
9ixj	A	86.21		0.74803		0.7481805106197523	
9jcy	A	25.06	30.25	0.24526	0.2214	0.2083712943763465	0.2172337331582035
9jd0	D	92.16		0.2239		0.9616706032121771	
9jd1	D	91.91		0.97784		0.9593109512958535	
9mla	A	27.41	26.98	0.23102	0.20798	0.28221179942940844	0.26236608973915193
9mlk	C	90.82		0.50902		0.556372351527334	
9njy	A	91.02		0.98103		0.9601306840008481	
9ore	A	44.2	58.85	0.49674	0.61698	0.4378434264709446	0.5987281129212133
9s37	D	84.69		0.56347		0.7965944048405198	
9g3d	B	77.17		0.89285		0.8271561842801922	
9g3e	A	77.17		0.91209		0.8446015023918634	
9h6u	A	25.74	33.04	0.26081	0.30083	0.23393822447543863	0.31292668267013785
9jie	B	33.62	60.79	0.32913	0.77222	0.32481860963969383	0.6354559650510335
9jif	A	47.96	66.12	0.57835	0.8122	0.4960554471762941	0.6699210244941478
9jij	A	38.88	56.32	0.42678	0.49237	0.3883659488006612	0.4357927119211257
9jik	A	31.85	51.86	0.44691	0.54369	0.31878323853112317	0.4637691368835591
9jim	A	31.85	53.6	0.44633	0.58345	0.3158217925495193	0.4813470129102226
9jin	B	31.85	58.75	0.44586	0.67188	0.31606079933619596	0.5388702136965031
9jio	B	65.06	65.06	0.75402	0.75402	0.6491527000816879	0.6491527000816879
9lvb	A	88.78		0.89524		0.7692568768763673	
9m0r	B	88.41		0.89994		0.9325366857178268	
9m1o	B	88.41		0.22968		0.9303202056773898	
9m2f	B	88.75		0.90138		0.9237154101948557	
9m54	B	88.41		0.23001		0.9263625089099061	
9mew	B	29.54	35.93	0.14593	0.14817	0.323265941404782	0.258576114238137
9mqv	A	62.47	62.47	0.8364	0.8364	0.6515956282567316	0.6515956282567316
9n0d	B	29.54	30.43	0.14542	0.12476	0.32401659792123316	0.29125767622897347
9nab	A	82.18		0.9144		0.7824328874898978	
9pat	A						
9pav	B						
9ei9	C	46.8	47.87	0.61278	0.57674	0.5361799065682776	0.5200322261626995
8z9o	B	88.82		0.90462		0.9363439864699887	
9fys	X	89.92		0.94834		0.9553408606089361	
9fyt	B	85.65		0.89497		0.8976008117747963	
9h39	A	85.33		0.93684		0.9111702488707903	
9h6v	B	86.88		0.95321		0.897984718323599	
9hlw	E	91.24		0.98872		0.9241495447059618	
9hvi	A	91.0		0.9899		0.9335474692407708	
9hvk	E	91.0		0.98538		0.9148052509313008	
9iqp	A	26.28	33.29	0.25821	0.31284	0.24645025724223366	0.30668431464137014
9j9z	A	76.72		0.62935		0.728921762252532	
9kgk	A	83.96		0.58475		0.8336385811206878	
9khh	C	84.33		0.06387		0.8175277011473961	
9uok	C	89.31		0.93664		0.9123015687422894	
9uxd	A						
9uxe	A						
9cjy	C	51.58	52.87	0.57236	0.56649	0.5123951516628784	0.5194741396974678
9cjz	A	34.19	36.3	0.39575	0.41478	0.3502158419445244	0.36219721090115736
8z9p	B	88.74		0.90356		0.937511917907216	
9cr9	C	68.14	71.1	0.41257	0.48286	0.7960648148148147	0.8000661375661375
9fm1	A	37.67	42.04	0.40864	0.44655	0.36147353907012875	0.3823581458006508
9fm2	B	71.77	71.77	0.88993	0.88993	0.7248257019958926	0.7248257019958926
9lmo	R	83.65		0.80193		0.7739504247115572	
9mpw	S	42.83	42.83	0.39415	0.39415	0.400440603169484	0.400440603169484
9mx1	A						
9nrc	A	74.36		0.52557		0.7749040940051259	
9rm2	P	28.78	40.67	0.4464	0.28373	0.3261606215633578	0.22528950226426842
9faj	A	82.44		0.92495		0.8855441282287808	
9fak	A	82.44		0.92355		0.8811833139618237	
9fau	A	88.31		0.93181		0.9227718459515951	
9faw	A	89.02		0.97001		0.9533910046253044	
8pet	D	88.31		0.92335		0.9426504515389956	
8vtd	C	91.98		0.96414		0.9423716258307561	
8vwe	C	93.02		0.86481		0.9802288818168884	
8yvk	A	61.04	64.85	0.82505	0.83583	0.62434931057746	0.6475992253216648
8yvl	A	64.98	64.98	0.84827	0.84827	0.6674436790718131	0.6674436790718131
8yvm	A	62.55	62.55	0.8449	0.8449	0.6400990913892519	0.6400990913892519
8yvn	D	62.55	62.55	0.84434	0.84434	0.6402133710342334	0.6402133710342334
8zyx	C	62.55	62.55	0.84262	0.84262	0.63769158277096	0.63769158277096
9btv	A	25.78	28.88	0.23709	0.20023	0.20160248050094604	0.20743527257110073
9ccs	A	73.66		0.83664		0.6531267949888164	
9cct	A	73.66		0.8408		0.6815436182025721	
9ccu	A	79.55		0.85241		0.7394462141295699	
9ccw	A	75.53		0.83581		0.7071266250915783	
9cfe	C	26.58	33.96	0.24212	0.31257	0.24377540836944342	0.30639348923650983
9cff	A	27.96	34.28	0.26033	0.26073	0.24965873758491988	0.2687204829719263
9cfg	A	27.96	30.42	0.26731	0.30333	0.2524886022006262	0.2922992660032364
9cfh	A	27.71	34.89	0.2524	0.25547	0.2527382778425062	0.26088117807238675
9fam	A	82.44		0.92303		0.8787328369820485	
9fap	A	82.86		0.9139		0.8936629407440768	
9faq	A	82.86		0.91067		0.8913718587982025	
9fat	A	82.44		0.9223		0.8751216998267688	
9fax	B	88.31		0.90655		0.940112615138406	
9iyy	B	43.17	47.56	0.33149	0.3255	0.4354932720550365	0.4482019741476054
9j8a	P	73.29	78.14	0.19469	0.37744	0.6075148809523809	0.5825892857142857
9jt1	B	40.65	54.7	0.31117	0.38242	0.48200672881522344	0.5425393433097409
9kmi	A	86.4		0.95835		0.8742162570172758	
9kmj	A	86.26		0.95725		0.8720510514072115	
9kmk	A	96.01		0.92487		0.8216996443113475	
9kml	A	96.01		0.93703		0.8521522105327942	
9kmm	A	95.53		0.94675		0.8513160666902221	
9kod	C	63.99	63.99	0.80174	0.80174	0.6071630147480388	0.6071630147480388
9kyo	A	86.38		0.95652		0.8698780799870679	
9nr8	C	82.37		0.94078		0.8337202434633786	
9u9b	A	52.63	59.78	0.39929	0.47482	0.5558034510440806	0.5878539600498254
8rex	C	73.58	77.68	0.64702	0.65655	0.7259146272115683	0.7300612491090699
8s6k	M	69.43	79.74	0.28909	0.30966	0.7386904761904762	0.7351190476190476
8s6t	C	56.37	56.37			0.0	0.0
8s6v	M	72.52		0.3503		0.6041666666666666	
8s73	M	72.9		0.30158		0.5952380952380951	
8yry	A	48.83	54.34	0.43106	0.60171	0.4076165058884686	0.47376301107353425
9bt5	A	52.07	60.43	0.64692	0.70964	0.5332284499882363	0.5771491190158168
9cf6	G	33.37	33.37	0.41131	0.41131	0.32599413926894477	0.32599413926894477
9cf7	C	32.79	36.05	0.39661	0.43969	0.3155336779154581	0.33953962309415275
9cfa	C	31.4	34.83	0.33389	0.44244	0.26605418392613583	0.33132569983756105
9cpp	A	26.83	37.39	0.2601	0.28428	0.27033280583136465	0.3057035620237449
9cpq	A	26.35	38.38	0.28124	0.34233	0.25299641741102613	0.3314115125024204
9cpr	A	26.83	41.1	0.27648	0.33636	0.2678562051804218	0.32950799800396435
9cps	A	26.58	36.09	0.2588	0.32984	0.2464149416126233	0.321896782387175
9cpt	A	26.83	33.73	0.2612	0.29724	0.2695684337468904	0.30682381732629677
9cpu	A	26.05	34.59	0.27285	0.35223	0.24499821359118218	0.307626289935395
9cpv	A	26.83	38.52	0.27463	0.29437	0.2706315492967322	0.2641059864849058
9cpw	A	26.12	38.61	0.27079	0.3465	0.24649741980815926	0.3167538137367036
9cpx	A	27.78	34.38	0.31142	0.3425	0.2566640762601015	0.2884133550454309
9cpy	A	27.31	36.93	0.29436	0.30797	0.2619844199996702	0.2815643885347985
9dlf	C	86.82		0.92968		0.8013915128299111	
9dm7	A	90.73		0.93427		0.8229307709392943	
9o54	A	83.71		0.94014		0.8199225425453461	
9o58	A	82.66		0.61311		0.7847608053082894	
9oao	C	31.66	32.58	0.31706	0.32242	0.28485154869958856	0.28440961330184894
9oap	C	31.66	35.67	0.31464	0.44274	0.2846593493677492	0.3412986193786417
9oaq	C	31.32	35.42	0.30146	0.38537	0.2785393448726524	0.3228611915489644
9oar	C	31.66	33.63	0.31057	0.38807	0.2815840941305428	0.29754066718703226
9oas	M	31.32	35.07	0.30612	0.46343	0.27623137862932695	0.36101166344207875
9jq6	F	90.13		0.96834		0.8990821393150146	
9jqp	A	78.85		0.93203		0.8227831341394037	
8yot	B	85.13		0.94782		0.9233594241039773	
9c7x	C	90.57		0.32576		0.6390695014050277	
9dmb	K	25.0		0.09994		0.20989248680165057	
9fm0	E	37.75	56.88	0.44376	0.31428	0.4320269941594955	0.42860280879846635
9fmw	A						
9jqu	A	24.98	31.84	0.2193	0.23818	0.2609491614456252	0.23629120540428336
9jqv	A	24.98	29.04	0.24469	0.21262	0.26351570383969825	0.2446381301436801
9l2k	A	24.98	31.64	0.22648	0.24992	0.26246800142396687	0.2757694871864627
8vsv	A	63.07	63.51	0.60031	0.60128	0.6437429036182301	0.6233971166579839
8y02	A	81.69		0.30983		0.7900047944756072	
8zpq	F	28.1	49.48	0.28235	0.29316	0.2624721760658595	0.27922252281677556
9ay1	A	63.07	63.07	0.60133	0.60133	0.6426513804874558	0.6426513804874558
9bth	G	24.26		0.20607		0.20190335411541108	
9bti	G	23.83		0.12465		0.21763195897660878	
9btj	G	24.1		0.2428		0.22812712080996425	
9byo	A	76.41		0.26739		0.7995567714190616	
9c0k	A	81.4		0.30446		0.7014209025490011	
9cmc	E	87.19		0.71992		0.6313500980304932	
9dbo	C	91.69		0.96105		0.964273784721925	
9dl0	G	91.75		0.97444		0.9643905805891504	
9fc2	A	26.79	40.53	0.28366	0.31202	0.2691736870701285	0.3239269101270192
9fg0	A	86.1		0.96425		0.923492596673009	
9fgv	A	93.83		0.81364		0.9289414467758393	
9fgx	D	94.83		0.97489		0.9175070669567755	
9fgy	D	94.83		0.97399		0.9277752392508078	
9ghi	A	28.68	35.49	0.29344	0.29126	0.27672107879774394	0.26293855953798256
9ghj	A	29.18	32.97	0.25574	0.30818	0.28852348014020374	0.31492369318609637
9gxh	D						
9k0k	A	73.9	82.29	0.71832	0.76897	0.7296373455826901	0.7404297438125603
9k0x	A	72.72	82.32	0.7591	0.7567	0.7272124185484736	0.7314885203819632
9k20	B	71.21	76.08	0.33588	0.30251	0.7956806567107441	0.8110977163301546
9k25	A	73.97	84.48	0.72098	0.75786	0.7199618430959852	0.7370513928311583
9lrb	A	79.67		0.87263		0.8038545721944648	
9lrd	A	75.42		0.7352		0.692657898973056	
9lre	A	79.3		0.8062		0.7752832124335792	
9qbj	I	83.38		0.76495		0.8474263741239288	
9qqn	A	29.34	45.39	0.24763	0.23202	0.2883631606876099	0.27023672895442824
9u4w	A	77.65		0.79272		0.7438065052518462	
9u4y	B	88.82		0.90527		0.9314874770669742	
9fg1	A	86.1		0.95533		0.92510534382353	
9fg3	A	86.1		0.96463		0.9308929149832949	
8xa4	A	66.2	76.28	0.67847	0.81458	0.5862153938300505	0.8005676492795403
8z3y	A	76.74		0.79726		0.7872616806370246	
9b9e	A	72.99		0.57468		0.7399396750985573	
9cph	A	90.3		0.86714		0.9136158326943928	
9d7i	E	25.59		0.22648		0.2113174731807976	
9d7o	E	25.55		0.2301		0.2171426698822534	
9d7p	E	25.55		0.22963		0.21619866055574496	
9ena	A	93.86		0.987		0.9480570250397901	
9ffl	B	89.87		0.93543		0.9505148531886268	
9ffm	B	89.87		0.92348		0.944607889191144	
9ffn	B	89.87		0.95097		0.9553853018997704	
9ffq	B	89.87		0.89807		0.9279765724130763	
9ffr	B	89.87		0.96127		0.951300353735966	
9ffs	B	89.87		0.94431		0.9467265142397524	
9ffu	B	89.87		0.95826		0.9622884148682245	
9ffv	A	86.1		0.92802		0.9176273189817639	
9ffw	A	86.1		0.94868		0.9251313705542382	
9ffy	A	86.1		0.96387		0.9222521271972651	
9ffz	A	86.1		0.95937		0.9156843727875774	
9fg2	A	86.1		0.96451		0.9307794516799364	
9fga	A	83.66		0.91319		0.8933887709620352	
9fgb	A	83.66		0.91185		0.8919809781984014	
9fgc	A	84.82		0.93288		0.9120881472173262	
9fgh	A	84.08		0.93754		0.8994002888024459	
9hb3	R	80.67		0.07875		0.7729425658356877	
9iut	C	73.17	77.08	0.34006	0.32167	0.722470238095238	0.7625
9j0b	A	78.23		0.80135		0.8080685856537542	
9j0i	A	78.23		0.80479		0.8108183253050605	
9ml4	A						
9ml5	A						
9ml6	A						
9ml7	A						
9ml8	B	26.05	36.72	0.26897	0.33182	0.2459056038122572	0.3196040247589804
9ml9	A	26.05	35.0	0.26264	0.33147	0.24780538126226367	0.3002240009990587
