id	length	pLDDT_A	model
A0A2P1GMZ4_2	153	43.168	BASE
A0A2P1GMZ4_3	161	60.193	BASE
A0A2P1GMZ4_4	384	77.229	BASE
A0A2P1GMZ4_5	412	77.32	BASE
E3SJZ4_1	8329	85.924	BASE
E3SJZ4_2	4227	82.676	BASE
E3SJZ4_3	5776	78.811	BASE
E3SJZ4_4	6544	82.463	BASE
E3SJZ4_5	4857	81.73	BASE
A0A7R7E0M9_2	57	49.747	BASE
A0A7R7E0M9_3	324	42.399	BASE
A0A7R7E0M9_4	131	64.914	BASE
A0A6J5KM96_1	9506	50.621	BASE
A0A6J5KM96_2	14761	85.118	BASE
A0A6J5KM96_3	2078	77.49	BASE
A0A385MIV5_1	695	48.073	BASE
A0A385MIV5_2	51	34.203	BASE
A0A385MIV5_3	111	54.27	BASE
A0A7M1RS80_1	621	82.764	BASE
A0A7M1RS80_2	1052	77.224	BASE
A0A7M1RS80_3	490	78.725	BASE
A0A0E3G4F4_1	3514	66.722	BASE
A0A0E3G4F4_2	357	71.984	BASE
A0A0E3G4F4_3	2293	73.157	BASE
A0A146J6H5_1	82	38.768	BASE
A0A146J6H5_2	89	31.674	BASE
A0A146J6H5_3	79	45.674	BASE
A0A7D7K093_2	1422	78.768	BASE
A0A8S5TE94_1	209	56.143	BASE
A0A8S5TE94_2	5132	72.987	BASE
A0A8S5TE94_3	117	68.003	BASE
A0A6J7WQH2_1	272	43.502	BASE
A0A6J7WQH2_2	111	50.575	BASE
A0A6J7WQH2_3	443	69.565	BASE
A0A8S5S6S3_1	43	51.714	BASE
A0A8S5S6S3_2	112	53.55	BASE
A0A8S5S6S3_3	133	61.108	BASE
A0A6G8R5G3_2	286	63.611	BASE
A0A6G8R5G3_3	205	55.556	BASE
E5ERA2_1	16465	81.854	BASE
E5ERA2_2	16387	72.736	BASE
E5ERA2_3	17958	72.399	BASE
A0A8S5PPC6_1	219	40.117	BASE
A0A8S5PPC6_2	2674	50.339	BASE
A0A5Q2W6N8_1	537	60.607	BASE
A0A5Q2W6N8_2	1368	74.915	BASE
A0A7H1C902_1	299	65.839	BASE
A0A7H1C902_2	3007	72.622	BASE
D7NNC8_1	528	79.548	BASE
D7NNC8_2	182	76.094	BASE
A0A2U8JQ92_2	295	67.318	BASE
A0A6J5T7D3_1	149	44.214	BASE
A0A6J5T7D3_2	1021	71.288	BASE
A0A1L3KF77_1	87	31.253	BASE
A0A1V0E2D7_2	1330	51.689	BASE
A0A2P1GNI9_1	869	45.626	BASE
A0A2P1GNI9_2	55	33.002	BASE
A0A516M0A9_1	7054	60.077	BASE
A0A516M0A9_2	5614	68.208	BASE
A0A894KDG6_1	149	86.518	BASE
A0A894KDG6_2	96	71.001	BASE
A0A1L3KMJ7_1	78	37.141	BASE
A0A2P1GMC2_1	1890	42.181	BASE
A0A2P1GMC2_2	112	44.093	BASE
A0A679KGH5_1	1691	68.927	BASE
A0A679KGH5_2	3810	87.316	BASE
A0A8K1XBA6_1	2377	36.599	BASE
A0A6J5L7M4_1	2227	81.889	BASE
A0A6J5L7M4_2	987	72.099	BASE
A0A1W6JME7_1	1074	63.141	BASE
A0A1W6JME7_2	292	62.961	BASE
A0A7D7F8D7_1	110	82.405	BASE
A0A8K1P3J0_1	51	32.155	BASE
A0A1L3KNM4_1	350	66.498	BASE
A0A1L3KNM4_2	913	58.156	BASE
A0A0N9QZQ5_1	1182	84.823	BASE
A0A0N9QZQ5_2	1909	86.018	BASE
A0A6J5LAW3_1	478	80.106	BASE
A0A6J5LAW3_2	40	61.366	BASE
A0A8K1XAY8_1	49	46.741	BASE
A0A8K1XAY8_2	391	78.004	BASE
A0A1S5VYQ5_1	206	56.106	BASE
A0A1S5VYQ5_2	878	75.544	BASE
A0A7M3UNT8_1	52	82.326	BASE
A0A7M3UNT8_2	1469	56.382	BASE
A0A5B9N8H2_1	4932	84.368	BASE
A0A5B9N8H2_2	1786	67.777	BASE
A0A7D5BRK2_1	59	49.41	BASE
A0A7D5BRK2_2	107	65.777	BASE
S0A2C3_1	711	85.982	BASE
S0A2C3_2	890	82.083	BASE
A0A8G0VZ79_1	88	48.554	BASE
A0A8G0VZ79_2	28	32.609	BASE
A0A1L3KMY9_1	224	87.058	BASE
A0A1L3KMY9_2	32	58.793	BASE
A0A0U2IBY0_1	33	51.952	BASE
A0A0U2IBY0_2	45	58.142	BASE
A7KUT7_1	5109	70.61	BASE
A7KUT7_2	165	48.633	BASE
C0JJB4_1	4415	43.798	BASE
C0JJB4_2	73	50.985	BASE
A0A0F7M057_1	39	50.733	BASE
A0A0F7M057_2	89	83.957	BASE
A0A6G5YKK0_1	121	65.438	BASE
A0A6G5YKK0_2	15537	69.406	BASE
A0A6G5X254_1	225	79.134	BASE
X2D5R9_1	216	59.012	BASE
X2D5R9_2	1615	76.794	BASE
A0A218MKA3_1	3884	85.044	BASE
A0A218MKA3_2	476	85.992	BASE
A0A2H4QTF8_1	95	37.175	BASE
A0A2H4QTF8_2	160	71.441	BASE
A0A1B1SGJ7_1	940	77.392	BASE
A0A1B1SGJ7_2	218	78.616	BASE
G3MAG1_1	58	52.469	BASE
G3MAG1_2	71	61.657	BASE
A0A2U7PAL4_1	545	71.443	BASE
A0A2U7PAL4_2	505	82.972	BASE
A0A8E8FV11_1	609	50.821	BASE
A0A8E8FV11_2	593	58.408	BASE
A0A6J5P0C1_1	5608	86.166	BASE
A0A6J5P0C1_2	7420	78.537	BASE
A0A481MW83_1	119	28.569	BASE
A0A481MW83_2	320	34.745	BASE
A0A6J5SUI6_1	600	83.077	BASE
A0A6J5SUI6_2	132	55.027	BASE
A0A516EL27_1	167	85.156	BASE
A0A5P8PMU7_1	5077	86.51	BASE
A0A5P8PMU7_2	2237	82.762	BASE
A0A678Z021_1	451	51.157	BASE
A0A678Z021_2	870	56.484	BASE
A0A1S5R1M4_1	5609	85.039	BASE
A0A1S5R1M4_2	2607	73.993	BASE
A0A516LAZ9_1	4686	59.674	BASE
A0A516LAZ9_2	4901	80.538	BASE
A0A218MMM0_1	3504	44.525	BASE
A0A218MMM0_2	10222	76.309	BASE
A0A6C0X1B3_2	747	43.43	BASE
A0A516MM74_1	3	39.594	BASE
A0A2K9VCB0_1	1849	62.732	BASE
A0A2K9VCB0_2	1021	45.207	BASE
A0A481ZH98_1	3277	67.738	BASE
A0A481ZH98_2	4973	77.746	BASE
A0A1L3KPL0_1	52	68.26	BASE
A0A482JU59_1	47	61.982	BASE
A0A482JU59_2	209	63.439	BASE
A0A515HFK6_1	369	78.38	BASE
A0A515HFK6_2	5028	73.531	BASE
A0A1L3KLY6_1	141	37.911	BASE
A0A1L3KLY6_2	144	57.003	BASE
A0A7S5T3G5_1	80	37.492	BASE
A0A7S5T3G5_2	123	65.983	BASE
A0A1L3KMK3_1	103	51.696	BASE
A0A1L3KMK3_2	33	57.97	BASE
A0A3G2WHE8_1	916	72.511	BASE
A0A3G2WHE8_2	41	55.144	BASE
A0A1L3KH63_1	102	58.199	BASE
A0A1L3KH63_2	387	82.188	BASE
D9CGB9_1	810	79.532	BASE
D9CGB9_2	7341	72.899	BASE
A0A5B8X9U7_2	742	31.227	BASE
A0A6J5N986_1	551	60.392	BASE
A0A6J5N986_2	167	72.803	BASE
A0A8S5MV66_1	1599	48.558	BASE
A0A8S5MV66_2	2400	45.58	BASE
A0A7M1RXA3_1	170	75.688	BASE
A0A7M1RXA3_2	123	56.419	BASE
A0A0K0PM47_1	857	35.29	BASE
A0A0K0PM47_2	31	38.791	BASE
A0A8E5B782_1	110	70.248	BASE
A0A8E5B782_2	906	85.856	BASE
A0A6G6XP93_1	2853	66.737	BASE
A0A6G6XP93_2	3614	71.871	BASE
A0A6J7X1Z4_1	152	40.54	BASE
A0A0F7LYU8_1	54	28.744	BASE
A0A0F7LYU8_2	249	43.25	BASE
A0A7D3P1G9_1	5526	65.603	BASE
A0A7D3P1G9_2	1450	85.132	BASE
A0A8K1XVY0_1	195	57.437	BASE
A0A8K1XVY0_2	509	85.407	BASE
A0A7T0Q378_1	2539	53.885	BASE
A0A7T0Q378_2	3242	57.063	BASE
A0A7S5RKK3_1	1685	46.206	BASE
A0A7S5RKK3_2	65	74.101	BASE
A0A7H1JMH2_1	80	61.66	BASE
A0A7H1JMH2_2	1276	78.141	BASE
A0A222Z518_1	187	61.169	BASE
A0A222Z518_2	47	57.774	BASE
A0A7S6NZ91_1	2053	72.081	BASE
A0A7S6NZ91_2	5033	81.334	BASE
A0A181ZI41_1	93	67.889	BASE
A0A181ZI41_2	144	75.551	BASE
M4PNP9_1	83	32.439	BASE
M4PNP9_2	138	36.944	BASE
A0A6J7X282_1	55	43.881	BASE
A0A6J7X282_2	809	76.819	BASE
A0A6J5RG41_1	1944	53.76	BASE
A0A6J5RG41_2	460	74.749	BASE
A0A0S1WFA5_1	178	81.656	BASE
S5VZP6_1	877	86.543	BASE
S5VZP6_2	1510	85.058	BASE
A0A8K1P6I8_1	260	61.231	BASE
A0A8K1P6I8_2	1009	91.511	BASE
A0A6J5Q527_1	833	50.746	BASE
A0A6J5Q527_2	537	44.892	BASE
A0A0F7LU26_1	2523	74.511	BASE
A0A0F7LU26_2	579	83.795	BASE
